Training Log
Hyperparameters: Gamma: 0.85, Epsilon: 0.3, Decay: 0.02, Alpha: 0.6

Episode 1: Steps 1823, Total Reward -16806
Episode 2: Steps 1537, Total Reward -14090
Episode 3: Steps 2737, Total Reward -25181
Episode 4: Steps 2939, Total Reward -26760
Episode 5: Steps 679, Total Reward -5690
Episode 6: Steps 1044, Total Reward -9187
Episode 7: Steps 2518, Total Reward -20273
Episode 8: Steps 11, Total Reward 45
Episode 9: Steps 397, Total Reward -2591
Episode 10: Steps 490, Total Reward -1964
Episode 11: Steps 61, Total Reward -104
Episode 12: Steps 362, Total Reward -1053
Episode 13: Steps 2, Total Reward 90
Episode 14: Steps 188, Total Reward -510
Episode 15: Steps 166, Total Reward -515
Episode 16: Steps 520, Total Reward -1436
Episode 17: Steps 469, Total Reward -1268
Episode 18: Steps 714, Total Reward -1720
Episode 19: Steps 284, Total Reward -624
Episode 20: Steps 159, Total Reward -310
Episode 21: Steps 310, Total Reward -713
Episode 22: Steps 39, Total Reward 17
Episode 23: Steps 4, Total Reward 88
Episode 24: Steps 137, Total Reward -378
Episode 25: Steps 862, Total Reward -2084
Episode 26: Steps 40, Total Reward 34
Episode 27: Steps 102, Total Reward -154
Episode 28: Steps 559, Total Reward -1223
Episode 29: Steps 202, Total Reward -416
Episode 30: Steps 467, Total Reward -1077
